AO_AVAILDAYS,SERVICE
161214.72,Air Force
169003.68,Air Force
187203.12,Air Force
122776.8,Air Force
164118.0,Air Force
136760.4,Air Force
146197.68,Air Force
143089.92,Air Force
165799.92,Air Force
165130.32,Air Force
135051.12,Air Force
171757.92,Air Force
123215.28,Air Force
156114.0,Air Force
143829.6,Air Force
117816.72,Air Force
157839.12,Air Force
158716.8,Air Force
172871.52,Air Force
144070.08,Air Force
155987.52,Air Force
138039.6,Air Force
169042.08,Air Force
167250.72,Air Force
179425.2,Air Force
69622.32,Air Force
44562.48,Air Force
107761.92,Air Force
172973.28,Air Force
171909.6,Air Force
188722.8,Air Force
166572.48,Air Force
151615.2,Air Force
166643.52,Air Force
184492.32,Air Force
181196.4,Air Force
171767.52,Air Force
177046.32,Air Force
168138.0,Air Force
178028.4,Air Force
180409.92,Air Force
167419.92,Air Force
176492.4,Air Force
179365.2,Air Force
176317.92,Air Force
173133.12,Air Force
154578.72,Air Force
81714.0,Air Force
131425.68,Air Force
178605.6,Air Force
131396.4,Air Force
135701.52,Air Force
166684.08,Air Force
115579.92,Air Force
159472.08,Air Force
157346.4,Air Force
176542.08,Air Force
186999.12,Air Force
186082.8,Air Force
190637.28,Air Force
132520.8,Air Force
151403.52,Air Force
173712.48,Air Force
142330.32,Air Force
141625.68,Air Force
177165.6,Air Force
72701.52,Air Force
194313.6,Air Force
184495.2,Air Force
49602.72,Air Force
147917.52,Air Force
176188.32,Air Force
30853.68,Air Force
115273.2,Air Force
121926.48,Air Force
181836.48,Air Force
185048.4,Air Force
165870.0,Air Force
180088.8,Air Force
72029.52,Air Force
42878.88,Air Force
13854.48,Air Force
110953.92,Air Force
98537.28,Air Force
91370.4,Air Force
148519.2,Air Force
96350.4,Air Force
67428.0,Air Force
100710.72,Air Force
115446.0,Air Force
110659.92,Air Force
108386.4,Air Force
115380.0,Air Force
87973.92,Air Force
143190.48,Air Force
139130.4,Air Force
168855.12,Air Force
118246.32,Air Force
93215.28,Air Force
65389.68,Air Force
93594.0,Air Force
49990.8,Air Force
42849.12,Air Force
18873.12,Air Force
35971.92,Air Force
71359.68,Air Force
54487.92,Air Force
83932.08,Air Force
169462.8,Air Force
98079.12,Air Force
158537.28,Air Force
41047.2,Air Force
141372.0,Air Force
26231.52,Air Force
179947.92,Air Force
88027.92,Air Force
14742.48,Air Force
189947.04,Air Force
186434.88,Air Force
188156.4,Air Force
146380.32,Air Force
129631.68,Air Force
135702.72,Air Force
210816.0,Air Force
126588.0,Air Force
122226.0,Air Force
107525.28,Air Force
97664.4,Air Force
157720.08,Air Force
134597.28,Air Force
0.0,Air Force
149372.88,Air Force
68233.2,Air Force
138642.0,Air Force
193360.32,Air Force
181926.72,Air Force
127419.12,Air Force
130991.52,Air Force
131689.44,Air Force
169086.48,Air Force
159999.6,Air Force
156190.32,Air Force
159968.4,Air Force
145039.68,Air Force
153493.68,Air Force
168881.28,Air Force
175662.48,Air Force
164695.2,Air Force
134895.6,Air Force
149715.12,Air Force
152861.52,Air Force
145303.92,Air Force
156126.72,Air Force
171143.28,Air Force
129631.68,Air Force
177001.68,Air Force
0.0,Air Force
0.0,Air Force
0.0,Air Force
178138.08,Air Force
132138.48,Air Force
0.0,Air Force
0.0,Air Force
125916.0,Air Force
0.0,Air Force
72495.12,Air Force
113513.28,Air Force
153629.52,Air Force
0.0,Air Force
112016.88,Air Force
25065.12,Air Force
0.0,Air Force
105972.48,Air Force
72346.32,Air Force
84588.72,Air Force
78104.88,Air Force
0.0,Air Force
0.0,Air Force
175750.08,Air Force
110085.6,Air Force
145265.04,Air Force
166534.32,Air Force
161507.52,Air Force
139285.92,Air Force
139836.0,Air Force
100588.32,Air Force
146618.4,Air Force
167808.0,Air Force
153963.6,Air Force
169289.52,Air Force
165246.0,Air Force
119605.92,Air Force
159829.68,Air Force
131074.8,Air Force
111866.4,Air Force
142834.32,Air Force
152363.28,Air Force
145426.32,Air Force
186221.28,Air Force
109864.32,Air Force
151455.12,Air Force
179710.08,Air Force
167900.4,Air Force
145150.32,Air Force
76720.08,Air Force
180665.52,Air Force
133873.68,Air Force
132181.2,Air Force
168232.8,Air Force
103826.4,Air Force
172430.88,Air Force
156233.28,Air Force
168600.72,Air Force
80482.32,Air Force
174523.92,Air Force
179732.4,Air Force
161006.88,Air Force
179674.8,Air Force
81072.72,Air Force
78682.8,Air Force
119394.0,Air Force
157126.32,Air Force
143562.0,Air Force
150808.08,Air Force
164070.48,Air Force
153310.32,Air Force
143626.08,Air Force
146342.4,Air Force
162919.68,Air Force
78032.88,Air Force
147017.52,Air Force
86847.6,Air Force
163687.2,Air Force
118976.88,Air Force
177486.72,Air Force
128019.6,Air Force
183212.88,Air Force
142005.6,Air Force
86013.12,Air Force
72633.12,Air Force
89894.4,Air Force
178548.0,Air Force
151986.48,Air Force
54330.72,Air Force
167236.08,Air Force
184641.6,Air Force
119286.0,Air Force
158397.6,Air Force
189592.8,Air Force
186031.68,Air Force
180608.4,Air Force
186998.88,Air Force
186756.0,Air Force
115719.6,Air Force
179222.88,Air Force
160923.6,Air Force
131863.2,Air Force
77882.64,Air Force
132497.52,Air Force
139254.48,Air Force
180965.52,Air Force
164513.52,Air Force
182031.12,Air Force
74991.6,Air Force
134316.0,Air Force
142399.92,Air Force
161907.6,Air Force
154286.4,Air Force
175741.2,Air Force
159925.68,Air Force
130944.72,Air Force
99622.08,Air Force
151696.8,Air Force
210816.0,Air Force
128467.2,Air Force
155782.8,Air Force
132047.76,Air Force
138622.08,Air Force
150634.32,Air Force
161908.08,Air Force
165616.8,Air Force
42127.68,Air Force
45339.6,Air Force
116334.0,Air Force
76972.8,Air Force
112323.6,Air Force
76760.4,Air Force
152331.12,Air Force
46430.88,Air Force
6973.92,Air Force
55703.28,Air Force
134956.08,Air Force
2880.0,Air Force
2880.0,Air Force
0.0,Air Force
127824.0,Air Force
46260.48,Air Force
195645.6,Air Force
42228.72,Air Force
188604.72,Air Force
178081.92,Air Force
131411.28,Air Force
157143.12,Air Force
197166.72,Air Force
195329.28,Air Force
136036.32,Air Force
136154.4,Air Force
207524.4,Air Force
187991.28,Air Force
188591.28,Air Force
178021.92,Air Force
144414.48,Air Force
113979.12,Air Force
130338.0,Air Force
126176.4,Air Force
186677.28,Air Force
174974.4,Air Force
120269.52,Air Force
134496.48,Air Force
120437.52,Air Force
49152.48,Air Force
32497.2,Air Force
0.0,Air Force
97399.92,Air Force
36048.0,Air Force
105677.52,Air Force
114746.88,Air Force
89472.72,Air Force
37402.8,Air Force
86475.6,Air Force
108855.12,Air Force
120718.8,Air Force
97008.48,Air Force
106004.4,Air Force
120107.52,Air Force
48201.12,Air Force
113319.6,Air Force
124682.88,Air Force
114979.92,Air Force
131459.52,Air Force
116130.48,Air Force
0.0,Air Force
118094.88,Air Force
112164.48,Air Force
6336.0,Air Force
91822.8,Air Force
109547.52,Air Force
186817.92,Air Force
0.0,Air Force
88667.52,Air Force
0.0,Air Force
175626.48,Air Force
0.0,Air Force
19616.88,Air Force
173616.48,Air Force
172309.2,Air Force
177915.12,Air Force
167857.68,Air Force
182610.0,Air Force
177256.8,Air Force
167376.48,Air Force
190219.68,Air Force
183190.32,Air Force
165648.0,Air Force
164449.68,Air Force
172369.92,Air Force
169228.32,Air Force
189446.4,Air Force
185501.28,Air Force
177032.88,Air Force
167883.6,Air Force
192467.52,Air Force
172444.32,Air Force
171733.92,Air Force
178460.4,Air Force
191059.68,Air Force
200213.28,Air Force
173488.8,Air Force
172994.4,Air Force
185005.68,Air Force
187130.4,Air Force
176499.6,Air Force
165689.28,Air Force
192981.6,Air Force
181837.92,Air Force
182598.72,Air Force
189911.52,Air Force
171250.8,Air Force
202048.32,Air Force
195994.8,Air Force
194108.4,Air Force
167311.92,Air Force
192178.32,Air Force
178606.08,Air Force
182554.32,Air Force
179286.72,Air Force
107833.92,Air Force
83004.48,Air Force
71844.72,Air Force
116660.4,Air Force
172857.6,Air Force
109975.68,Air Force
115405.2,Air Force
93119.28,Air Force
170144.88,Air Force
159608.88,Air Force
90844.08,Air Force
138316.32,Air Force
127257.12,Air Force
199819.92,Air Force
189708.48,Air Force
183204.48,Air Force
198039.12,Air Force
179131.92,Air Force
109259.28,Air Force
121287.6,Air Force
175188.0,Air Force
190666.08,Air Force
130488.0,Air Force
149636.4,Air Force
180566.4,Air Force
204802.08,Air Force
180372.72,Air Force
169547.28,Air Force
99979.2,Air Force
185059.2,Air Force
42198.72,Air Force
115825.92,Air Force
166864.8,Air Force
141622.8,Air Force
120108.48,Air Force
183021.6,Air Force
179297.28,Air Force
157546.8,Air Force
175147.68,Air Force
194012.4,Air Force
183109.92,Air Force
125128.32,Air Force
176777.28,Air Force
184129.92,Air Force
0.0,Air Force
0.0,Air Force
185296.32,Air Force
157989.6,Air Force
179752.08,Air Force
193777.92,Air Force
170723.28,Air Force
177871.68,Air Force
154539.6,Air Force
179604.0,Air Force
200602.8,Air Force
187978.08,Air Force
198656.4,Air Force
184438.08,Air Force
143670.48,Air Force
142608.0,Air Force
117027.6,Air Force
172296.72,Air Force
173752.08,Air Force
90426.48,Air Force
100710.48,Air Force
190504.32,Air Force
140941.92,Air Force
185951.52,Air Force
153593.28,Air Force
173822.88,Air Force
125939.52,Air Force
159558.0,Air Force
190214.88,Air Force
188609.52,Air Force
125962.08,Air Force
138595.2,Air Force
196823.52,Air Force
56743.68,Air Force
154602.0,Air Force
152463.6,Air Force
196293.6,Air Force
157778.4,Air Force
181424.88,Air Force
167557.2,Air Force
156219.12,Air Force
107424.0,Air Force
134547.12,Air Force
112139.28,Air Force
149403.12,Air Force
109185.6,Air Force
199674.72,Air Force
183786.0,Air Force
174054.48,Air Force
183208.08,Air Force
185893.68,Air Force
89878.32,Air Force
152835.12,Air Force
141788.4,Air Force
163840.08,Air Force
159907.2,Air Force
202398.0,Air Force
132312.72,Air Force
171061.68,Air Force
85320.48,Air Force
122054.4,Air Force
168116.4,Air Force
115579.68,Air Force
160241.52,Air Force
190644.48,Air Force
91121.28,Air Force
134155.68,Air Force
158385.12,Air Force
134956.8,Air Force
142704.72,Air Force
80718.48,Air Force
118559.28,Air Force
108233.52,Air Force
147336.72,Air Force
179789.52,Air Force
108039.12,Air Force
186527.52,Air Force
115052.88,Air Force
150462.48,Air Force
133160.88,Air Force
186919.2,Air Force
137320.32,Air Force
135041.28,Air Force
165485.28,Air Force
156374.88,Air Force
150299.28,Air Force
148578.72,Air Force
185843.28,Air Force
135510.72,Air Force
104274.48,Air Force
154378.08,Air Force
157170.72,Air Force
181912.08,Air Force
184525.2,Air Force
153935.52,Air Force
152795.52,Air Force
102509.28,Air Force
187738.8,Air Force
132160.32,Air Force
193369.2,Air Force
187817.52,Air Force
187915.92,Air Force
173819.28,Air Force
110757.6,Air Force
125817.6,Air Force
198352.08,Air Force
163506.48,Air Force
175177.68,Air Force
