DATASEGMENT,EICATEGORY,EICC,EITM,EITYPE,EPSLI,FORCEELEMENT,FYQTR,FYYearInt,ISENDITEM,ISMODEL,MONTH_CHAR,MONTH_NUMBER,PMAI,SCORECARDGROUP,SERVICE,TAI,TII,TMS
AFA,,X,TS-3590,TEST EQUIPMENT,0,,,2008,f,t,,,0,,Air Force,0,0,TS-3590
AFA,,X,TS-3590,TEST EQUIPMENT,0,,,2009,f,t,,,0,,Air Force,0,0,TS-3590
AFA,,X,TS-3590,TEST EQUIPMENT,0,,,2012,f,t,,,0,,Air Force,0,0,TS-3590
AFA,,X,TS-4348,TEST EQUIPMENT,0,,,2008,f,t,,,0,,Air Force,0,0,TS-4348
AFA,,X,TS-4348,TEST EQUIPMENT,0,,,2010,f,t,,,0,,Air Force,0,0,TS-4348
AFA,,X,TS-4348,TEST EQUIPMENT,0,,,2009,f,t,,,0,,Air Force,0,0,TS-4348
AFA,,X,TS-4478,TEST EQUIPMENT,0,,,2008,f,t,,,0,,Air Force,0,0,TS-4478
AFA,,X,TS-4478,TEST EQUIPMENT,0,,,2010,f,t,,,0,,Air Force,0,0,TS-4478
AFA,,X,TS-4478,TEST EQUIPMENT,0,,,2011,f,t,,,0,,Air Force,0,0,TS-4478
AFA,,X,TS-4478,TEST EQUIPMENT,0,,,2012,f,t,,,0,,Air Force,0,0,TS-4478
AFA,,X,TS-4530,TEST EQUIPMENT,0,,,2008,f,t,,,0,,Air Force,0,0,TS-4530
AFA,,X,TS-4530,TEST EQUIPMENT,0,,,2009,f,t,,,0,,Air Force,0,0,TS-4530
AFA,,X,TS-4530,TEST EQUIPMENT,0,,,2010,f,t,,,0,,Air Force,0,0,TS-4530
AFA,,X,TS-4530,TEST EQUIPMENT,0,,,2011,f,t,,,0,,Air Force,0,0,TS-4530
AFA,,X,TTU228,TEST STAND,0,,,2009,f,t,,,0,,Air Force,0,0,TTU228E
AFA,,X,TTU228,TEST STAND,0,,,2008,f,t,,,0,,Air Force,0,0,TTU228E
AFA,,X,TTU228,TEST STAND,0,,,2010,f,t,,,0,,Air Force,0,0,TTU228E
AFA,,X,TTU228,TEST STAND,0,,,2011,f,t,,,0,,Air Force,0,0,TTU228E
AFA,,X,TTU228,TEST STAND,0,,,2008,f,t,,,0,,Air Force,0,0,TTU228E1
AFA,,X,TTU228,TEST STAND,0,,,2009,f,t,,,0,,Air Force,0,0,TTU228E1
AFA,,X,TTU228,TEST STAND,0,,,2010,f,t,,,0,,Air Force,0,0,TTU228E1
AFA,,X,TTU27,TEST EQUIPMENT,0,,,2009,f,t,,,0,,Air Force,0,0,TTU27E
AFA,,X,TTU27,TEST EQUIPMENT,0,,,2010,f,t,,,0,,Air Force,0,0,TTU27E
AFA,,X,TTU27,TEST EQUIPMENT,0,,,2008,f,t,,,0,,Air Force,0,0,TTU27E
AFA,,X,TTU367,TEST EQUIPMENT,0,,,2012,f,t,,,0,,Air Force,0,0,TTU367A
AFA,,X,TTU367,TEST EQUIPMENT,0,,,2008,f,t,,,0,,Air Force,0,0,TTU367A
AFA,,X,TTU584,TEST EQUIPMENT,0,,,2009,f,t,,,0,,Air Force,0,0,TTU584E
AFA,,X,TTU584,TEST EQUIPMENT,0,,,2012,f,t,,,0,,Air Force,0,0,TTU584E
AFA,,X,TTU584,TEST EQUIPMENT,0,,,2008,f,t,,,0,,Air Force,0,0,TTU584E
AFA,TF,F,U-2,TRAINER FIXED WING,0,,,2012,t,t,,,0,,Air Force,0,0,TU-2R
AFA,TF,F,U-2,TRAINER FIXED WING,0,,,2008,t,t,,,0,,Air Force,0,0,TU-2R
AFA,TF,F,U-2,TRAINER FIXED WING,0,,,2012,t,t,,,0,,Air Force,5,2,TU-2S
AFA,TF,F,U-2,TRAINER FIXED WING,0,,,2008,t,t,,,0,,Air Force,5,2,TU-2S
AFA,TF,F,U-2,TRAINER FIXED WING,0,,,2010,t,t,,,0,,Air Force,5,2,TU-2S
AFA,,X,TUBE,TUBE,0,,,2010,f,f,,,0,,Air Force,0,0,TUBE
AFA,,X,TUBE,TUBE,0,,,2008,f,f,,,0,,Air Force,0,0,TUBE
AFA,,X,TUBE,TUBE,0,,,2009,f,f,,,0,,Air Force,0,0,TUBE
AFA,,X,TUBE,TUBE,0,,,2012,f,f,,,0,,Air Force,0,0,TUBE
AFA,,X,TUNER,TUNER,0,,,2012,f,f,,,0,,Air Force,0,0,TUNER
AFA,,X,TUNER,TUNER,0,,,2008,f,f,,,0,,Air Force,0,0,TUNER
AFA,,X,TUNER,TUNER,0,,,2009,f,f,,,0,,Air Force,0,0,TUNER
AFA,,X,TUNER,TUNER,0,,,2011,f,f,,,0,,Air Force,0,0,TUNER
AFA,,X,TUNNEL,TUNNEL,0,,,2009,f,f,,,0,,Air Force,0,0,TUNNEL
AFA,,E,TURBINE,TURBINE,0,,,2008,f,f,,,0,,Air Force,0,0,TURBINE
AFA,,E,TURBINE,TURBINE,0,,,2010,f,f,,,0,,Air Force,0,0,TURBINE
AFA,,E,TURBOCHARGER,TURBOCHARGER,0,,,2010,f,f,,,0,,Air Force,0,0,TURBOCHARGER
AFA,,E,TURBOCHARGER,TURBOCHARGER,0,,,2011,f,f,,,0,,Air Force,0,0,TURBOCHARGER
AFA,,E,TURBOCHARGER,TURBOCHARGER,0,,,2008,f,f,,,0,,Air Force,0,0,TURBOCHARGER
AFA,,E,TURBOFAN,TURBOFAN,0,,,2008,f,f,,,0,,Air Force,0,0,TURBOFAN
AFA,,E,TURBOFAN,TURBOFAN,0,,,2010,f,f,,,0,,Air Force,0,0,TURBOFAN
AFA,,E,TURBOFAN,TURBOFAN,0,,,2012,f,f,,,0,,Air Force,0,0,TURBOFAN
AFA,,E,TURBOFAN,TURBOFAN,0,,,2011,f,f,,,0,,Air Force,0,0,TURBOFAN
AFA,,X,TURBULATOR,TURBULATOR,0,,,2009,f,f,,,0,,Air Force,0,0,TURBULATOR
AFA,,X,TURBULATOR,TURBULATOR,0,,,2012,f,f,,,0,,Air Force,0,0,TURBULATOR
AFA,,X,TURBULATOR,TURBULATOR,0,,,2010,f,f,,,0,,Air Force,0,0,TURBULATOR
AFA,,X,TURBULATOR,TURBULATOR,0,,,2008,f,f,,,0,,Air Force,0,0,TURBULATOR
AFA,,X,TURN SIGNAL,TURN SIGNAL,0,,,2008,f,f,,,0,,Air Force,0,0,TURN SIGNAL
AFA,,X,TURN SIGNAL,TURN SIGNAL,0,,,2009,f,f,,,0,,Air Force,0,0,TURN SIGNAL
AFA,,X,TURN SIGNAL,TURN SIGNAL,0,,,2010,f,f,,,0,,Air Force,0,0,TURN SIGNAL
AFA,,X,TURNBUCKLE,TURNBUCKLE,0,,,2009,f,f,,,0,,Air Force,0,0,TURNBUCKLE
AFA,,X,TURNBUCKLE,TURNBUCKLE,0,,,2010,f,f,,,0,,Air Force,0,0,TURNBUCKLE
AFA,,X,TURNBUCKLE,TURNBUCKLE,0,,,2011,f,f,,,0,,Air Force,0,0,TURNBUCKLE
AFA,,X,TURNBUCKLE,TURNBUCKLE,0,,,2008,f,f,,,0,,Air Force,0,0,TURNBUCKLE
AFA,,X,TURNLOCK,TURNLOCK,0,,,2008,f,f,,,0,,Air Force,0,0,TURNLOCK
AFA,,X,TURNLOCK,TURNLOCK,0,,,2010,f,f,,,0,,Air Force,0,0,TURNLOCK
AFA,,X,TURNLOCK,TURNLOCK,0,,,2012,f,f,,,0,,Air Force,0,0,TURNLOCK
AFA,,X,TURRET,TURRET,0,,,2011,f,f,,,0,,Air Force,0,0,TURRET
AFA,,X,TURRET,TURRET,0,,,2008,f,f,,,0,,Air Force,0,0,TURRET
AFA,OF,F,U-28,,0,,,2010,t,t,,,0,,Air Force,0,0,U-28A
AFA,OF,F,U-28,,0,,,2012,t,t,,,0,,Air Force,0,0,U-28A
AFA,OF,F,U-28,,0,,,2009,t,t,,,0,,Air Force,0,0,U-28A
AFA,OF,F,U-28,,0,,,2011,t,t,,,0,,Air Force,0,0,U-28A
AFA,OF,F,U-2,RECONNAISSANCE FIXED WING,0,,,2008,t,t,,,0,,Air Force,0,0,U-2R
AFA,OF,F,U-2,RECONNAISSANCE FIXED WING,0,,,2010,t,t,,,0,,Air Force,0,0,U-2R
AFA,OF,F,U-2,RECONNAISSANCE FIXED WING,0,,,2011,t,t,,,0,,Air Force,0,0,U-2R
AFA,OF,F,U-2,RECONNAISSANCE FIXED WING,1,,,2008,t,t,,,27,,Air Force,28,1,U-2S
